fecha,linea,turno,envase,maquina,toma,kg,und,baja
2026-01-03,4,2,3500162,9,2,12.0,58,true
2026-01-03,4,2,3500162,10,2,16.0,77,true
2026-01-03,4,2,3500162,11,2,27.0,129,true
2026-01-03,4,2,3500162,12,2,20.0,96,true
2026-01-03,4,2,3500162,13,2,22.0,105,true
2026-01-03,6,2,3500888,1,2,32.0,52,true
2026-01-03,6,2,3500888,2,2,27.0,44,true
2026-01-03,6,2,3500888,3,2,22.0,36,true
2026-01-03,6,2,3500888,4,2,18.0,30,true
2026-01-03,6,2,3500888,5,2,12.0,20,true
2026-01-03,6,2,3500888,6,2,17.0,28,true
2026-01-03,6,2,3500888,7,2,19.0,31,true
2026-01-03,6,2,3500888,8,2,37.0,60,true
2026-01-03,6,2,3500888,9,2,20.0,33,true
2026-01-03,6,2,3500888,10,2,12.0,20,true
2026-01-03,6,2,3500888,11,2,23.0,38,true
2026-01-03,6,2,3500888,12,2,20.0,33,true
2026-01-03,6,2,3500888,13,2,32.0,52,true
2026-01-04,1,1,3500005,1,1,15.0,85,true
2026-01-04,1,1,3500005,2,1,10.0,57,true
2026-01-04,1,1,3500005,3,1,10.0,57,true
2026-01-04,1,1,3500005,4,1,10.0,57,true
2026-01-04,1,1,3500005,5,1,12.0,68,true
2026-01-04,1,1,3500005,6,1,20.0,113,true
2026-01-04,1,1,3500005,7,1,15.0,85,true
2026-01-04,1,1,3500005,8,1,12.0,68,true
2026-01-04,1,1,3500005,9,1,13.0,74,true
2026-01-04,1,1,3500005,10,1,0.0,0,true
2026-01-04,1,1,3500005,11,1,15.0,85,true
2026-01-04,1,1,3500005,12,1,20.0,113,true
2026-01-04,1,1,3500005,13,1,13.0,74,true
2026-01-04,1,3,3500005,1,1,31.0,176,true
2026-01-04,1,3,3500005,2,1,32.0,181,true
2026-01-04,1,3,3500005,3,1,19.0,108,true
2026-01-04,1,3,3500005,4,1,21.0,119,true
2026-01-04,1,3,3500005,5,1,21.0,119,true
2026-01-04,1,3,3500005,6,1,41.0,232,true
2026-01-04,1,3,3500005,7,1,46.0,260,true
2026-01-04,1,3,3500005,8,1,16.0,91,true
2026-01-04,1,3,3500005,9,1,11.0,63,true
2026-01-04,1,3,3500005,10,1,12.0,68,true
2026-01-04,1,3,3500005,11,1,19.0,108,true
2026-01-04,1,3,3500005,12,1,12.0,68,true
2026-01-04,1,3,3500005,13,1,23.0,130,true
2026-01-05,1,3,3500005,1,1,15.0,85,true
2026-01-05,1,3,3500005,2,1,12.0,68,true
2026-01-05,1,3,3500005,3,1,10.0,57,true
2026-01-05,1,3,3500005,4,1,11.0,63,true
2026-01-05,1,3,3500005,5,1,11.0,63,true
